                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7628,                 3.1183,                 2.0384,                0.39845,                0.47826,                0.35994,                0.13771,                  2.248,                 7.5629,                 2.7055,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.7801,                 1.8144,                 1.9976,                0.08099,                0.56522,                0.06135,                 0.0172,                 2.5394,                 25.474,                 3.0906,              0.0011898,              0.0011898,              0.0011898
                      3,                 1.8498,                 1.8854,                 2.0148,                   0.25,                0.17391,                 0.1339,                   0.02,                 3.5047,                 24.094,                 7.7654,              0.0017489,              0.0017489,              0.0017489
                      4,                 1.8533,                 1.9235,                  2.025,                0.01072,                0.04348,                0.00231,                0.00043,                 4.4647,                 4.6366,                 6.6329,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.8619,                 1.8565,                 2.0563,                0.02713,                0.06326,                  0.011,                0.00297,                 3.5428,                 3.2771,                 4.3789,               0.001802,               0.001802,               0.001802
                      6,                 1.8397,                  1.865,                 2.0116,                0.13409,                0.21739,                0.05736,                0.01218,                 2.8558,                 6.7333,                 3.3487,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.7688,                 1.7454,                  1.939,                0.24944,                0.26087,                0.26873,                0.06281,                 2.6401,                 2.4973,                 2.7344,               0.001703,               0.001703,               0.001703
                      8,                 1.7764,                 1.8105,                  1.969,                0.16302,                0.34783,                0.15298,                0.05054,                  2.748,                 2.5474,                 2.8034,              0.0016535,              0.0016535,              0.0016535
                      9,                   1.76,                 1.7009,                 1.9527,                0.24131,                0.30435,                0.21842,                0.05715,                 2.7504,                 2.6176,                 2.9727,               0.001604,               0.001604,               0.001604
                     10,                 1.7185,                 1.6669,                 1.8931,                0.53086,                0.56522,                0.46729,                 0.1587,                 2.2469,                 2.2459,                 2.4469,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.6605,                 1.5768,                  1.871,                0.60453,                0.47826,                0.46917,                0.13553,                 2.3467,                 2.2137,                  2.671,               0.001505,               0.001505,               0.001505
                     12,                 1.7207,                 1.5866,                 1.9058,                0.29439,                0.52174,                0.24806,                 0.0589,                 2.7082,                 2.6601,                 2.9766,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.6579,                 1.6427,                 1.8765,                0.45176,                0.60907,                0.57152,                0.17472,                 2.3063,                 1.9144,                 2.4367,               0.001406,               0.001406,               0.001406
                     14,                 1.5703,                 1.4837,                 1.8001,                 0.4931,                0.43478,                 0.3406,                 0.0661,                 2.5391,                 2.5495,                  2.838,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.6073,                 1.4886,                 1.8075,                0.75397,                0.52174,                0.61685,                0.23963,                 2.2004,                 1.5336,                 2.4481,               0.001307,               0.001307,               0.001307
                     16,                 1.5702,                 1.4679,                 1.7901,                0.53263,                0.82609,                0.69067,                0.27394,                 1.9328,                 1.5108,                 2.1224,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.5542,                   1.39,                 1.7598,                0.63307,                0.69565,                0.71532,                0.27486,                 2.1147,                  1.518,                 2.2358,               0.001208,               0.001208,               0.001208
                     18,                 1.5844,                 1.4172,                 1.7691,                0.62869,                0.44205,                0.54017,                0.14808,                  2.425,                 1.8514,                 2.7353,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.5284,                 1.3767,                 1.7031,                0.79806,                0.68766,                0.77034,                  0.298,                 2.0519,                 1.3743,                 2.1436,               0.001109,               0.001109,               0.001109
                     20,                 1.5007,                 1.3363,                 1.7044,                0.78552,                0.63749,                0.73728,                0.30708,                  2.041,                 1.4441,                 2.1969,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.4769,                  1.285,                 1.7166,                0.70608,                0.82609,                0.79523,                0.31214,                 2.1013,                 1.3778,                 2.2526,                0.00101,                0.00101,                0.00101
                     22,                 1.4598,                  1.253,                 1.6905,                0.69578,                0.69609,                0.73421,                0.37905,                 1.8135,                 1.3058,                 1.8789,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.4122,                  1.182,                 1.6278,                0.77958,                0.65217,                0.79704,                 0.3854,                 1.7133,                 1.2643,                 1.8386,               0.000911,               0.000911,               0.000911
                     24,                  1.423,                 1.2231,                 1.6639,                0.87069,                0.69565,                0.84291,                0.40324,                 1.6739,                 1.1271,                 1.8281,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.4026,                 1.1689,                 1.6432,                0.69755,                0.80262,                0.77475,                0.36298,                 1.7536,                 1.2026,                   1.88,               0.000812,               0.000812,               0.000812
                     26,                 1.3508,                 1.1332,                  1.606,                0.66244,                0.68298,                0.71125,                0.34785,                 1.6398,                  1.219,                 1.8003,              0.0007625,              0.0007625,              0.0007625
                     27,                   1.36,                 1.1207,                 1.5862,                0.71922,                0.55723,                 0.6863,                0.37684,                 1.6904,                 1.3028,                 1.8233,               0.000713,               0.000713,               0.000713
                     28,                  1.338,                 1.0882,                 1.5744,                0.68391,                0.73913,                0.76098,                0.43905,                 1.4878,                  1.149,                 1.6879,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.3122,                 1.0711,                 1.5451,                0.77566,                0.75206,                0.80793,                0.42445,                 1.6745,                 1.2022,                 1.7719,               0.000614,               0.000614,               0.000614
                     30,                 1.3019,                 1.0814,                 1.5478,                0.76914,                0.72472,                0.80464,                0.35868,                 1.7627,                 1.1276,                 1.8617,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.2597,                0.88624,                 1.6206,                0.80719,                 0.6087,                0.76631,                0.40353,                 1.6081,                 1.1578,                 1.7447,               0.000515,               0.000515,               0.000515
                     32,                 1.2203,                0.77432,                 1.6012,                0.61781,                0.84371,                0.75974,                0.43514,                 1.6706,                 1.0313,                 1.7611,              0.0004655,              0.0004655,              0.0004655
                     33,                 1.1911,                0.73637,                 1.5706,                0.83001,                0.65217,                0.76636,                0.41846,                 1.7438,                  1.122,                 1.8852,               0.000416,               0.000416,               0.000416
                     34,                 1.1517,                0.72537,                 1.5343,                0.72764,                0.81343,                0.79679,                0.45488,                 1.5496,                 1.0789,                 1.7061,              0.0003665,              0.0003665,              0.0003665
                     35,                 1.1312,                0.67377,                 1.5151,                0.79834,                0.73913,                0.80659,                 0.4168,                 1.6583,                 1.0866,                 1.7619,               0.000317,               0.000317,               0.000317
                     36,                 1.1244,                0.67268,                 1.5285,                0.67129,                0.86957,                0.83599,                  0.443,                 1.6453,                 1.1103,                 1.7198,              0.0002675,              0.0002675,              0.0002675
                     37,                 1.0809,                0.64872,                 1.4629,                0.83492,                0.66002,                0.81893,                0.43568,                  1.626,                 1.0238,                 1.7982,               0.000218,               0.000218,               0.000218
                     38,                 1.0342,                0.64534,                 1.4468,                0.73636,                0.85047,                0.85593,                0.44288,                  1.693,                0.99618,                 1.8006,              0.0001685,              0.0001685,              0.0001685
                     39,                 1.0411,                 0.6224,                 1.4393,                0.65815,                0.86957,                0.80336,                0.41133,                 1.6895,                 1.0474,                 1.8339,               0.000119,               0.000119,               0.000119
                     40,                 1.0071,                0.60344,                 1.4195,                0.66663,                0.86943,                0.81798,                0.44054,                 1.6578,                 1.0939,                 1.7981,               6.95e-05,               6.95e-05,               6.95e-05
