                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4236,                 2.0915,                 1.8744,                0.58478,                0.66614,                0.61024,                0.25742,                 1.8388,                 1.8043,                 2.1276,             0.00066408,             0.00066408,             0.00066408
                      2,                 1.3863,                 1.3515,                 1.8326,                0.60956,                0.47377,                0.55223,                0.27725,                 1.7297,                 1.7254,                  1.861,               0.001199,               0.001199,               0.001199
                      3,                 1.3001,                 1.2245,                 1.7425,                 0.8476,                0.68362,                 0.8246,                0.49494,                 1.3581,                 1.2609,                 1.5858,              0.0016019,              0.0016019,              0.0016019
                      4,                 1.1895,                  1.086,                 1.6603,                0.84946,                0.83148,                0.88883,                0.58067,                  1.158,                0.97244,                 1.3537,               0.001406,               0.001406,               0.001406
                      5,                 1.1153,                0.97271,                 1.5797,                0.86766,                 0.8124,                0.90394,                0.56536,                 1.2364,                0.93234,                 1.4096,               0.001208,               0.001208,               0.001208
                      6,                 1.0627,                0.90067,                 1.5255,                0.82499,                0.87758,                0.91623,                0.62037,                 1.1189,                0.88985,                  1.278,                0.00101,                0.00101,                0.00101
                      7,                0.98714,                0.79611,                 1.4664,                0.93372,                0.85105,                 0.9388,                0.66004,                0.99871,                0.75592,                 1.1949,               0.000812,               0.000812,               0.000812
                      8,                0.93971,                0.72186,                 1.4182,                0.94299,                0.89407,                0.95737,                 0.6955,                 0.9576,                0.67691,                 1.1335,               0.000614,               0.000614,               0.000614
                      9,                0.91191,                0.66427,                 1.3919,                0.93331,                0.91224,                0.96488,                0.71942,                0.94192,                0.62988,                 1.1094,               0.000416,               0.000416,               0.000416
                     10,                0.84322,                 0.6097,                 1.3383,                0.93553,                0.91415,                0.96557,                0.74276,                0.86548,                 0.6139,                 1.0442,               0.000218,               0.000218,               0.000218
