                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5826,                 3.2222,                 1.7121,                0.10514,                0.27174,                0.07161,                0.02645,                 2.2676,                 3.2645,                 2.5447,                0.00065,                0.00065,                0.00065
                      2,                 1.8185,                 2.3287,                 1.8637,                0.04981,                0.43478,                0.03682,                0.01192,                 2.6144,                 99.418,                 3.9159,              0.0013036,              0.0013036,              0.0013036
                      3,                 1.9256,                  2.407,                 1.9779,                0.00409,                0.68478,                 0.0037,                0.00124,                    2.9,                    inf,                 8.1449,              0.0019441,              0.0019441,              0.0019441
                      4,                  1.987,                 2.5131,                 2.0397,                0.09072,                0.32609,                0.07352,                0.02245,                 2.6518,                 26.296,                 3.3003,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9137,                 2.3836,                 1.9698,                0.04727,                 0.1087,                 0.0384,                0.01185,                 2.6912,                 14.808,                 3.1496,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9411,                  2.376,                 2.0049,                0.00416,                0.26087,                0.00361,                 0.0012,                 3.0041,                 53.615,                 3.5409,               0.001901,               0.001901,               0.001901
                      7,                 1.8407,                 2.3378,                 1.9537,                0.21226,                 0.2314,                0.15463,                 0.0615,                 2.5053,                 2.8027,                 2.7392,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8215,                 2.2641,                 1.9514,                0.16058,                0.20652,                0.11043,                0.03883,                 2.4926,                 3.7251,                  2.564,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7674,                 2.1939,                 1.9046,                0.21436,                0.26087,                0.12284,                0.03638,                 2.2915,                 3.7875,                 2.5806,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7697,                 2.2236,                 1.9015,                0.22621,                0.30435,                0.19673,                0.07254,                 2.0544,                 3.5346,                 2.5133,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7795,                 2.2125,                 1.8925,                0.30001,                0.31215,                 0.2219,                0.08414,                 2.1136,                 2.5894,                 2.3894,               0.001802,               0.001802,               0.001802
                     12,                 1.7172,                 2.1508,                 1.8342,                0.20905,                0.31522,                0.18817,                0.07655,                 2.0287,                  2.796,                 2.2602,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7164,                 2.1263,                 1.8358,                0.36538,                0.28791,                0.21949,                 0.0846,                 2.0865,                 2.6769,                 2.2303,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6926,                 2.0737,                 1.8289,                0.28137,                    0.5,                0.28525,                0.11871,                 1.9141,                 2.4544,                 2.1411,              0.0017426,              0.0017426,              0.0017426
