                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0877,                 2.9567,                 2.0568,                 0.2492,                0.21745,                0.15444,                0.04741,                 2.4112,                   3.84,                 2.6328,             0.00054854,             0.00054854,             0.00054854
                      2,                 2.1378,                 2.5287,                 2.1042,                0.11011,                0.11657,                0.03872,                0.01086,                 3.1338,                  12.37,                 3.8262,              0.0010678,              0.0010678,              0.0010678
                      3,                 2.1372,                  2.544,                 2.1095,                0.20299,                0.18021,                 0.1307,                0.04073,                 2.6428,                 3.9794,                 2.8666,              0.0015503,              0.0015503,              0.0015503
                      4,                  2.095,                   2.51,                 2.0823,                0.50421,                 0.1986,                0.20466,                0.07399,                 2.3254,                 2.7836,                 2.4439,               0.001502,               0.001502,               0.001502
                      5,                 2.0654,                 2.4259,                 2.0293,                0.28554,                0.36388,                   0.26,                0.09582,                 2.1123,                 3.0793,                 2.2606,               0.001447,               0.001447,               0.001447
                      6,                 2.0231,                 2.3432,                 2.0076,                0.35147,                0.36029,                0.31776,                 0.1184,                 2.1864,                 2.4929,                 2.2897,              0.0013919,              0.0013919,              0.0013919
                      7,                 2.0045,                 2.3029,                 1.9994,                0.48602,                0.34403,                0.35903,                0.12992,                 2.1585,                 2.2906,                 2.2194,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.9598,                 2.2364,                 1.9608,                0.44839,                0.42434,                0.38523,                0.15246,                 2.0739,                 2.1572,                 2.1766,              0.0012819,              0.0012819,              0.0012819
                      9,                  1.978,                 2.2513,                 1.9621,                 0.3796,                0.38435,                0.31726,                0.11847,                 2.0658,                 2.6528,                 2.1288,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.9442,                 2.1705,                 1.9393,                0.51507,                 0.4372,                0.43062,                0.17699,                 2.0223,                 2.1836,                 2.1112,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.9041,                  2.091,                 1.9063,                0.51304,                 0.4838,                0.47641,                0.19254,                 1.9606,                 2.0503,                 2.0846,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.9206,                 2.0962,                 1.9074,                0.44747,                0.49531,                  0.458,                0.19725,                 2.0489,                 1.9445,                 2.1422,              0.0010619,              0.0010619,              0.0010619
                     13,                  1.865,                 1.9984,                 1.8639,                0.57237,                0.49454,                0.51402,                0.21791,                 1.9407,                 2.0306,                 2.0537,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.8442,                 2.0085,                 1.8765,                0.45021,                0.48065,                0.44516,                0.18606,                 1.9985,                 1.9916,                 2.0986,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.8304,                 1.9314,                 1.8374,                0.59705,                  0.497,                0.53366,                0.22957,                 1.8919,                 1.8704,                 1.9917,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.831,                 1.9149,                 1.8473,                0.59673,                0.47452,                0.51319,                0.21522,                 1.9654,                 1.8694,                 2.0766,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.7971,                 1.9411,                 1.8364,                0.57932,                 0.5237,                0.53374,                0.22823,                 1.9249,                 1.8521,                 2.0307,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.8018,                 1.8349,                 1.8003,                 0.6851,                0.52224,                0.58127,                0.25516,                 1.9427,                 1.6769,                 2.0105,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.7797,                 1.8169,                 1.8183,                0.62009,                0.55049,                 0.5629,                0.24794,                 1.8843,                 1.7924,                 1.9986,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.7388,                 1.7561,                 1.7661,                0.69156,                0.55366,                0.60328,                0.26672,                 1.9352,                 1.7238,                 2.0221,             0.00062179,             0.00062179,             0.00062179
                     21,                 1.8107,                 1.7568,                  1.873,                  0.659,                0.55902,                0.60732,                0.27178,                 1.8689,                 1.6341,                 1.9851,             0.00056678,             0.00056678,             0.00056678
                     22,                 1.7975,                 1.6834,                   1.85,                0.63402,                0.58733,                0.60247,                0.27355,                 1.8693,                 1.6114,                 1.9693,             0.00051177,             0.00051177,             0.00051177
                     23,                 1.7415,                 1.6011,                 1.8196,                 0.6698,                 0.5958,                0.63003,                0.29118,                 1.8647,                 1.5893,                  1.979,             0.00045676,             0.00045676,             0.00045676
                     24,                 1.7207,                 1.5799,                 1.8196,                 0.6955,                0.60852,                0.63758,                0.29551,                 1.8236,                 1.5558,                 1.9518,             0.00040175,             0.00040175,             0.00040175
                     25,                 1.6855,                 1.5158,                 1.7868,                0.73559,                0.58648,                0.63466,                0.28673,                 1.8699,                 1.5472,                 1.9659,             0.00034674,             0.00034674,             0.00034674
                     26,                 1.6794,                 1.4681,                 1.7653,                0.69862,                0.60833,                0.64645,                0.30501,                 1.8217,                 1.4753,                 1.9328,             0.00029172,             0.00029172,             0.00029172
                     27,                 1.6485,                  1.437,                 1.7499,                0.72093,                0.61335,                0.65997,                0.30316,                 1.8617,                 1.4695,                 1.9638,             0.00023671,             0.00023671,             0.00023671
                     28,                 1.5954,                 1.3695,                 1.7026,                0.71185,                0.60606,                0.66265,                0.31629,                 1.8177,                 1.4499,                  1.919,              0.0001817,              0.0001817,              0.0001817
                     29,                 1.6014,                 1.3599,                 1.7152,                0.74556,                 0.6205,                 0.6799,                0.31471,                 1.8313,                 1.4258,                 1.9329,             0.00012669,             0.00012669,             0.00012669
