                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0019,                 2.8285,                 1.9314,                0.29839,                0.24774,                0.19637,                0.07923,                 2.2764,                 2.8712,                 2.2836,             0.00055438,             0.00055438,             0.00055438
                      2,                 2.1285,                 2.5271,                 2.0771,                0.38347,                0.31236,                0.27987,                0.12021,                 2.0737,                 2.5585,                  2.092,              0.0010001,              0.0010001,              0.0010001
                      3,                 2.0556,                 2.3561,                 2.0373,                0.38113,                0.31715,                 0.2645,                 0.1174,                 2.0768,                 2.3173,                 2.0758,              0.0013359,              0.0013359,              0.0013359
                      4,                 1.9322,                 2.1249,                 1.9231,                0.51729,                0.40126,                0.40201,                0.18914,                  1.892,                 2.0399,                 1.9248,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.8335,                 1.9061,                 1.8331,                0.59898,                 0.4848,                 0.5146,                0.25275,                 1.7816,                 1.6847,                 1.8269,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.7505,                 1.7426,                 1.7583,                0.69132,                0.57401,                0.61258,                0.32432,                 1.6707,                 1.4562,                 1.7486,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.6731,                 1.5746,                 1.6955,                0.74675,                0.60196,                 0.6522,                0.34961,                 1.6443,                 1.3729,                 1.6794,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.6049,                 1.4454,                 1.6384,                0.76556,                0.61585,                0.66173,                0.37113,                 1.5812,                 1.2744,                 1.6308,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.5383,                 1.3247,                 1.5815,                0.81434,                 0.6558,                0.71399,                0.40444,                 1.5527,                 1.1778,                 1.6029,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.4801,                 1.2213,                 1.5316,                0.82059,                0.68873,                0.73336,                0.42624,                 1.5162,                 1.0976,                 1.5762,              0.0001817,              0.0001817,              0.0001817
