                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0629,                 1.6355,                 1.1058,                0.59874,                0.31555,                0.34808,                0.17466,                 1.7981,                 1.5871,                 1.5245,             0.00023747,             0.00023747,             0.00023747
                      2,                0.92766,                0.86574,                 1.0407,                 0.5258,                0.32984,                0.34126,                0.17075,                 1.7772,                 1.5167,                   1.51,              0.0004284,              0.0004284,              0.0004284
                      3,                0.89635,                0.80098,                 1.0321,                0.65227,                0.34447,                0.37122,                0.19447,                 1.7683,                 1.4283,                 1.4988,              0.0005722,              0.0005722,              0.0005722
                      4,                0.85152,                0.71392,                  1.007,                0.67732,                0.42016,                0.44583,                 0.2232,                 1.7478,                 1.3792,                   1.46,             0.00050194,             0.00050194,             0.00050194
                      5,                0.80848,                0.63422,                0.98869,                0.59819,                0.48783,                0.45952,                 0.2521,                  1.714,                 1.3735,                 1.4423,             0.00043126,             0.00043126,             0.00043126
                      6,                0.76869,                0.57317,                0.96844,                 0.5663,                0.50767,                0.47601,                0.24983,                 1.7037,                 1.4533,                 1.4348,             0.00036057,             0.00036057,             0.00036057
                      7,                0.72921,                0.52233,                0.95459,                0.63744,                0.54195,                0.53901,                0.29599,                  1.714,                 1.2973,                  1.465,             0.00028988,             0.00028988,             0.00028988
                      8,                0.69686,                0.47267,                0.93875,                0.63425,                0.55268,                0.56071,                0.32345,                 1.6666,                 1.4061,                 1.4248,              0.0002192,              0.0002192,              0.0002192
                      9,                0.67157,                0.43585,                0.92766,                0.77175,                 0.5244,                0.60119,                0.34503,                 1.6314,                 1.3353,                 1.3946,             0.00014851,             0.00014851,             0.00014851
                     10,                0.64551,                0.40509,                0.91818,                0.73697,                0.55385,                0.59447,                0.33724,                 1.6406,                 1.3776,                 1.4026,             7.7826e-05,             7.7826e-05,             7.7826e-05
